Source;Accuracy
BCPST00063;0.8653851
BCPST00027;0.84615433
BCPST00044;0.8269235
BCPST00070;0.82051325
BCPST00053;0.81410307
BCPST00079;0.81410307
BCPST00051;0.7948722
BCPST00075;0.7948722
BCPST00043;0.7884619
BCPST00066;0.7884619
BCPST00006;0.78205156
BCPST00021;0.7756415
BCPST00011;0.77564144
BCPST00030;0.77564144
BCPST00052;0.77564144
BCPST00060;0.77564144
BCPST00072;0.77564144
BCPST00057;0.7756414
BCPST00012;0.76923114
BCPST00025;0.76923114
BCPST00032;0.7628209
BCPST00026;0.76282084
BCPST00048;0.76282084
BCPST00056;0.76282084
BCPST00069;0.7564106
BCPST00054;0.75641054
BCPST00061;0.75000036
BCPST00059;0.7435902
BCPST00071;0.7435902
BCPST00042;0.74358994
BCPST00074;0.7371798
BCPST00003;0.73076963
BCPST00019;0.7307696
BCPST00035;0.7307695
BCPST00029;0.7243594
BCPST00049;0.7243594
BCPST00009;0.71153885
BCPST00065;0.7115388
BCPST00073;0.71153873
BCPST00036;0.7051285
BCPST00038;0.6987183
BCPST00078;0.6987183
BCPST00039;0.69230807
BCPST00017;0.6858979
BCPST00034;0.68589777
BCPST00050;0.6858977
BCPST00058;0.67948747
BCPST00046;0.6794874
BCPST00010;0.67307717
BCPST00067;0.67307717
BCPST00033;0.66666704
BCPST00016;0.6666669
BCPST00076;0.65384644
BCPST00028;0.6538464
BCPST00008;0.64743626
BCPST00023;0.6474362
BCPST00024;0.6474362
BCPST00002;0.6410259
BCPST00041;0.63461566
BCPST00005;0.6346156
BCPST00077;0.6282054
BCPST00007;0.6217952
BCPST00064;0.6217951
BCPST00080;0.6217951
BCPST00022;0.62179506
BCPST00055;0.62179506
BCPST00068;0.6153848
BCPST00081;0.6089747
BCPST00001;0.60897464
BCPST00045;0.6089746
BCPST00047;0.6089745
BCPST00000;0.6025644
BCPST00062;0.60256433
BCPST00031;0.5897438
BCPST00004;0.57051307
BCPST00040;0.5512823
BCPST00018;0.54487205
BCPST00037;0.544872
BCPST00014;0.5448719
BCPST00015;0.5256412
BCPST00013;0.49358994
BCPST00020;0.39743596
